2017-09-23T05:55:58.345+0200 I CONTROL  [main] Trying to start Windows service 'MongoDB'
2017-09-23T05:56:15.069+0200 I REPL     [replExecDBWorker-0] Starting replication reporter thread
2017-09-23T05:56:15.069+0200 I REPL     [rsSync] transition to RECOVERING
2017-09-23T05:56:15.070+0200 I REPL     [rsSync] transition to SECONDARY
2017-09-23T05:56:15.070+0200 I REPL     [rsSync] conducting a dry run election to see if we could be elected
2017-09-23T05:56:15.070+0200 I REPL     [ReplicationExecutor] dry election run succeeded, running for election
2017-09-23T05:56:15.071+0200 I REPL     [ReplicationExecutor] election succeeded, assuming primary role in term 5
2017-09-23T05:56:15.071+0200 I REPL     [ReplicationExecutor] transition to PRIMARY
2017-09-23T05:56:15.071+0200 I REPL     [ReplicationExecutor] Entering primary catch-up mode.
2017-09-23T05:56:15.071+0200 I REPL     [ReplicationExecutor] Exited primary catch-up mode.
2017-09-23T05:56:15.842+0200 I NETWORK  [thread2] connection accepted from 10.63.1.107:4469 #1 (1 connection now open)
2017-09-23T05:56:15.852+0200 I NETWORK  [conn1] received client metadata from 10.63.1.107:4469 conn1: { driver: { name: "MongoDB Internal Client", version: "3.4.9" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2017-09-23T05:56:16.039+0200 I NETWORK  [ReplicaSetMonitor-TaskExecutor-0] Successfully connected to ShardServer2:27018 (1 connections now open to ShardServer2:27018 with a 5 second timeout)
2017-09-23T05:56:16.039+0200 W NETWORK  [ReplicaSetMonitor-TaskExecutor-0] No primary detected for set rs2
2017-09-23T05:56:17.071+0200 I REPL     [rsSync] transition to primary complete; database writes are now permitted
2017-09-23T05:56:17.354+0200 I NETWORK  [thread2] connection accepted from 10.63.1.107:4471 #2 (2 connections now open)
2017-09-23T05:56:17.355+0200 I NETWORK  [conn2] received client metadata from 10.63.1.107:4471 conn2: { driver: { name: "NetworkInterfaceASIO-ShardRegistry", version: "3.4.9" }, os: { type: "Windows", name: "Microsoft Windows 7", architecture: "x86_64", version: "6.1 SP1 (build 7601)" } }
2017-09-23T05:56:17.368+0200 I ACCESS   [conn2] Successfully authenticated as principal __system on local
2017-09-23T05:57:13.008+0200 I ASIO     [NetworkInterfaceASIO-ShardRegistry-0] Ending idle connection to host ELVN-LAP02:27019 because the pool meets constraints; 2 connections to that host remain open
2017-09-23T05:57:13.010+0200 I ASIO     [NetworkInterfaceASIO-ShardRegistry-0] Ending idle connection to host ELVN-LAP02:27019 because the pool meets constraints; 1 connections to that host remain open
2017-09-23T05:57:30.218+0200 I -        [conn1] end connection 10.63.1.107:4469 (2 connections now open)
2017-09-23T05:57:30.218+0200 I -        [conn2] end connection 10.63.1.107:4471 (1 connection now open)
2017-09-23T05:57:33.980+0200 I NETWORK  [ReplicaSetMonitor-TaskExecutor-0] Socket hangup detected, no longer connected (idle 18 secs, remote host 10.63.1.107:27019)
2017-09-23T05:57:38.981+0200 W NETWORK  [ReplicaSetMonitor-TaskExecutor-0] Failed to connect to 10.63.1.107:27019 after 5000ms milliseconds, giving up.
2017-09-23T05:57:38.981+0200 I NETWORK  [ReplicaSetMonitor-TaskExecutor-0] Marking host ELVN-LAP02:27019 as failed :: caused by :: Location40356: connection pool: connect failed ELVN-LAP02:27019 : couldn't connect to server ELVN-LAP02:27019, connection attempt failed
2017-09-23T05:57:38.981+0200 W NETWORK  [ReplicaSetMonitor-TaskExecutor-0] No primary detected for set rs1
2017-09-23T05:57:38.981+0200 I NETWORK  [ReplicaSetMonitor-TaskExecutor-0] All nodes for set rs1 are down. This has happened for 1 checks in a row.
2017-09-23T05:57:41.724+0200 I CONTROL  [serviceShutdown] got SERVICE_CONTROL_STOP request from Windows Service Control Manager, will terminate after current cmd ends
2017-09-23T05:57:41.724+0200 I NETWORK  [serviceShutdown] shutdown: going to close listening sockets...
2017-09-23T05:57:41.724+0200 I NETWORK  [serviceShutdown] closing listening socket: 368
2017-09-23T05:57:41.724+0200 I NETWORK  [serviceShutdown] shutdown: going to flush diaglog...
2017-09-23T05:57:41.724+0200 I REPL     [serviceShutdown] shutting down replication subsystems
2017-09-23T05:57:41.724+0200 I REPL     [serviceShutdown] Stopping replication reporter thread
2017-09-23T05:57:41.724+0200 I REPL     [serviceShutdown] Stopping replication fetcher thread
2017-09-23T05:57:41.725+0200 I REPL     [serviceShutdown] Stopping replication applier thread
2017-09-23T05:57:42.146+0200 I REPL     [serviceShutdown] Stopping replication storage threads
2017-09-23T05:57:42.146+0200 W SHARDING [serviceShutdown] cant reload ShardRegistry  :: caused by :: CallbackCanceled: Callback canceled
2017-09-23T05:57:42.146+0200 I FTDC     [serviceShutdown] Shutting down full-time diagnostic data capture
2017-09-23T05:57:42.149+0200 W SHARDING [serviceShutdown] error encountered while cleaning up distributed ping entry for ShardServer1:27018:1506138958:-8034098132652076335 :: caused by :: InterruptedAtShutdown: interrupted at shutdown
2017-09-23T05:57:42.149+0200 I STORAGE  [serviceShutdown] WiredTigerKVEngine shutting down
2017-09-23T05:57:42.159+0200 I STORAGE  [serviceShutdown] shutdown: removing fs lock...
2017-09-23T05:57:42.160+0200 I CONTROL  [serviceShutdown] now exiting
